0
APPLES
BERRY TOTALS
BLUEBERRIES
FIGS
FRUIT & TREE NUT TOTALS
GRAPES
NECTARINES
NON-CITRUS TOTALS
ORCHARDS
PEACHES
PEARS
PECANS
PLUMS
PLUMS & PRUNES
TREE NUT TOTALS
PERSIMMONS
BLACKBERRIES
CITRUS TOTALS
GRAPEFRUIT
LEMONS
LIMES
POMEGRANATES
RASPBERRIES
TANGERINES
"TREE NUTS, OTHER"
CHESTNUTS
APRICOTS
STRAWBERRIES
ALMONDS
HAZELNUTS
KUMQUATS
"NON-CITRUS, OTHER"
ORANGES
CHERRIES
ELDERBERRIES
TANGELOS
WALNUTS
ARONIA BERRIES
"BERRIES, OTHER"
PASSION FRUIT
KIWIFRUIT
PLUM-APRICOT HYBRIDS
OLIVES
GUAVAS
CURRANTS
PISTACHIOS
DATES
"CITRUS, OTHER"
BOYSENBERRIES
AVOCADOS
MACADAMIAS
LOGANBERRIES
PRUNES
CHERIMOYAS
PAPAYAS
BANANAS
COFFEE
MANGOES
CRANBERRIES
PINEAPPLES
