County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
Lincoln ,OK,74026,Davenport,17.32,12.1,clear sky,13.27,1637413706,1637450248,-96.767,35.7089
Lincoln ,OR,97498,Yachats,8.78,5.58,overcast clouds,7.41,1637421564,1637455506,-124.0863,44.3256
Lincoln ,SD,57013,Canton,5.43,3.14,overcast clouds,1.65,1637414786,1637449085,-96.5938,43.3038
Lincoln ,TN,37144,Petersburg,9.91,4.49,overcast clouds,4.52,1637411220,1637447874,-86.6447,35.2924
Lincoln ,WA,99008,Edwall,2.07,-0.58,overcast clouds,0.48,1637420674,1637453429,-117.9071,47.5379
Lincoln ,WI,54435,Gleason,0.34,-3.84,overcast clouds,-4.86,1637413429,1637447024,-89.4753,45.3384
Lincoln ,WV,25003,Alum Creek,9.04,2.49,overcast clouds,3.85,1637410464,1637446307,-81.8051,38.2868
Lincoln ,WY,83101,Kemmerer,0.4,-1.79,overcast clouds,-5.76,1637417886,1637452674,-110.5283,41.7887
Lincoln Parish,LA,71227,Choudrant,15.19,11.3,clear sky,13.6,1637412288,1637449628,-92.5224,32.5556
Linn ,IA,52202,Alburnett,7.13,3.15,overcast clouds,2.87,1637413408,1637448084,-91.6392,42.1583
Linn ,KS,66010,Blue Mound,11.17,7.79,overcast clouds,8.92,1637413606,1637449501,-95.0053,38.0908
Linn ,MO,63557,New Boston,10.48,7.84,overcast clouds,8.1,1637413371,1637448734,-92.916,39.9332
Linn ,OR,97321,Albany,8.38,4.74,broken clouds,5.78,1637421392,1637455220,-123.1333,44.652
Lipscomb ,TX,79005,Booker,10.86,6.75,overcast clouds,6.28,1637414705,1637451052,-100.5238,36.4429
Litchfield ,CT,06018,Canaan,3.88,-1.06,overcast clouds,-1.62,1637408987,1637443711,-73.3232,42.0248
Little River ,AR,71822,Ashdown,17.09,15.59,few clouds,16.22,1637412813,1637449877,-94.1351,33.6787
Live Oak ,TX,78022,George West,23.18,21.2,scattered clouds,22.44,1637413140,1637451461,-98.1162,28.3204
Livingston ,IL,60420,Dwight,7.53,3.26,overcast clouds,3.22,1637412466,1637447479,-88.4159,41.0887
Livingston ,KY,42028,Burna,9.86,5.76,overcast clouds,6.17,1637411887,1637448020,-88.3379,37.2392
Livingston ,MI,48114,Brighton,3.99,0.88,overcast clouds,-0.99,1637411579,1637446124,-83.7484,42.57
Livingston ,MO,64601,Chillicothe,10.63,8.0,overcast clouds,8.75,1637413503,1637448906,-93.5509,39.7966
Livingston ,NY,14414,Avon,5.94,3.61,overcast clouds,2.64,1637410187,1637444626,-77.7274,42.903
Livingston Parish,LA,70449,Maurepas,18.89,15.56,few clouds,17.57,1637411581,1637449462,-90.7043,30.2716
Llano ,TX,76831,Castell,19.04,16.16,few clouds,17.06,1637413622,1637451390,-98.9712,30.7565
Logan ,AR,72835,Delaware,13.0,10.01,overcast clouds,11.07,1637412828,1637449484,-93.3462,35.278
Logan ,CO,80722,Atwood,7.99,4.26,overcast clouds,7.23,1637415946,1637451132,-103.2749,40.5082
Logan ,IL,61723,Atlanta,9.71,5.17,clear sky,5.81,1637412535,1637447801,-89.23,40.2586
Logan ,KS,67747,Monument,7.99,2.13,overcast clouds,1.58,1637415196,1637450807,-101.035,39.079
Logan ,KY,42202,Adairville,11.92,4.99,broken clouds,6.14,1637411457,1637447740,-86.8585,36.6914
Logan ,ND,58440,Fredonia,0.14,0.14,clear sky,-4.02,1637415948,1637449161,-99.1733,46.3701
Logan ,NE,69163,Stapleton,6.8,0.44,overcast clouds,2.83,1637415426,1637450311,-100.4831,41.4888
Logan ,OH,43310,Belle Center,5.05,1.76,clear sky,0.41,1637411260,1637446454,-83.7688,40.5024
Logan ,OK,73016,Cashion,16.77,10.82,overcast clouds,13.27,1637413937,1637450455,-97.6795,35.8
Logan ,WV,25047,Clothier,9.62,0.88,broken clouds,5.7,1637410423,1637446394,-81.9024,37.8332
Long ,GA,31316,Ludowici,15.02,11.14,broken clouds,12.84,1637409605,1637447137,-81.7453,31.7705
Lonoke ,AR,72007,Austin,12.99,8.07,clear sky,9.1,1637412463,1637449193,-91.9798,34.9921
Lorain ,OH,44001,Amherst,6.58,3.55,few clouds,1.88,1637411028,1637445958,-82.2538,41.3617
Los Alamos ,NM,87544,Los Alamos,10.42,4.4,broken clouds,6.22,1637416008,1637452507,-106.2676,35.8663
Los Angeles ,CA,90001,Los Angeles,20.86,12.88,haze,15.4,1637418641,1637455625,-118.2479,33.9731
Loudon ,TN,37742,Greenback,9.01,1.61,overcast clouds,5.24,1637410674,1637447233,-84.171,35.6567
Loudoun ,VA,20105,Aldie,5.36,-0.18,broken clouds,2.66,1637409550,1637445203,-77.6038,38.9577
Louisa ,IA,52640,Morning Sun,9.56,3.81,overcast clouds,7.03,1637413150,1637448159,-91.2581,41.0984
Louisa ,VA,22942,Gordonsville,2.55,-1.71,clear sky,0.11,1637409578,1637445453,-78.1815,38.1759
Loup ,NE,68879,Taylor,6.21,3.82,overcast clouds,2.96,1637415246,1637449997,-99.4543,41.9141
Love ,OK,73430,Burneyville,18.61,15.92,broken clouds,16.56,1637413614,1637450608,-97.3249,33.9515
Loving ,TX,79754,Mentone,23.58,20.25,broken clouds,21.49,1637414846,1637452388,-103.5988,31.7068
Lowndes ,AL,36032,Fort Deposit,13.54,10.77,clear sky,11.43,1637410792,1637448269,-86.5761,31.996
Lowndes ,GA,31601,Valdosta,17.36,15.45,few clouds,16.18,1637409866,1637447637,-83.3321,30.7539
Lowndes ,MS,39701,Columbus,12.17,7.79,clear sky,9.57,1637411428,1637448559,-88.5047,33.4109
Loza Municipio,PR,00772,Loiza,27.99,22.85,scattered clouds,25.86,1637404389,1637444736,-65.88,18.43
Lubbock ,TX,79329,Idalou,18.01,13.38,broken clouds,15.67,1637414622,1637451690,-101.6786,33.6504
Lucas ,IA,50049,Chariton,8.14,6.16,scattered clouds,7.61,1637413629,1637448662,-93.3042,41.0226
Lucas ,OH,43412,Curtice,6.25,3.73,clear sky,2.54,1637411320,1637446161,-83.2858,41.6477
Luce ,MI,49853,Mc Millan,4.91,-3.63,overcast clouds,-1.66,1637412705,1637445950,-85.7307,46.297
Lumpkin ,GA,30533,Dahlonega,9.16,2.12,overcast clouds,3.68,1637410482,1637447333,-83.9798,34.5299
Luna ,NM,88029,Columbus,17.46,17.46,broken clouds,15.97,1637415831,1637453343,-107.64,31.8276
Lunenburg ,VA,23944,Kenbridge,4.2,-0.34,clear sky,-1.21,1637409392,1637445612,-78.1242,36.933
Luquillo Municipio,PR,00773,Luquillo,28.01,22.87,scattered clouds,25.88,1637404343,1637444701,-65.71,18.37
Luzerne ,PA,18201,Hazleton,2.57,-0.88,clear sky,1.09,1637409451,1637444512,-75.9563,40.9488
Lycoming ,PA,17701,Williamsport,5.01,1.87,clear sky,0.26,1637409747,1637444717,-77.0011,41.2412
Lyman ,SD,57365,Oacoma,4.83,4.22,overcast clouds,3.44,1637415542,1637449674,-99.3947,43.7975
Lynchburg city,VA,24501,Lynchburg,3.03,-2.32,clear sky,-0.02,1637409697,1637445802,-79.1557,37.353
Lynn ,TX,79351,Odonnell,18.27,16.85,clear sky,15.24,1637414574,1637451809,-101.8271,32.9773
Lyon ,IA,51230,Alvord,5.36,2.51,overcast clouds,0.84,1637414716,1637449010,-96.291,43.3201
Lyon ,KS,66801,Emporia,11.35,9.05,clear sky,8.52,1637413937,1637449739,-96.1871,38.4184
Lyon ,KY,42038,Eddyville,11.12,6.02,overcast clouds,6.1,1637411794,1637447975,-88.0494,37.0664
Lyon ,MN,56115,Balaton,3.43,-2.05,overcast clouds,-1.57,1637414772,1637448758,-95.8838,44.2253
Lyon ,NV,89403,Dayton,9.21,3.77,clear sky,6.09,1637419667,1637455214,-119.5287,39.2806
Mackinac ,MI,49719,Cedarville,5.23,2.16,overcast clouds,0.81,1637412318,1637445673,-84.3488,46.0024
Macomb ,MI,48005,Armada,4.24,1.31,overcast clouds,-0.94,1637411417,1637445874,-82.8899,42.8409
Macon ,AL,36039,Hardaway,13.91,9.08,clear sky,11.46,1637410664,1637448065,-85.8838,32.3129
Macon ,GA,31041,Ideal,13.74,10.71,clear sky,10.83,1637410264,1637447651,-84.188,32.3696
Macon ,IL,61756,Maroa,9.69,3.92,overcast clouds,3.92,1637412436,1637447769,-88.9578,40.0342
Macon ,MO,63431,Anabel,10.44,8.35,overcast clouds,8.71,1637413202,1637448621,-92.328,39.7428
Macon ,NC,28734,Franklin,6.28,-0.77,clear sky,3.45,1637410424,1637447107,-83.3885,35.181
Macon ,TN,37083,Lafayette,11.18,3.25,overcast clouds,5.31,1637411236,1637447560,-86.0242,36.539
Macoupin ,IL,62009,Benld,12.8,8.79,clear sky,8.58,1637412500,1637448110,-89.8031,39.0939
Madera ,CA,93601,Ahwahnee,12.5,7.63,clear sky,9.93,1637419448,1637455527,-119.7233,37.4076
Madison ,AL,35741,Brownsboro,10.63,4.55,clear sky,7.71,1637411104,1637447906,-86.4687,34.7167
Madison ,AR,72721,Combs,13.21,8.99,overcast clouds,10.81,1637413016,1637449519,-93.8112,35.8607
Madison ,FL,32059,Lee,17.23,15.67,clear sky,16.29,1637409814,1637447667,-83.2844,30.3979
