County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
Shelby,KY,40003,Bagdad,11.38,7.22,clear sky,7.47,1637757097,1637792572,-85.0651,38.2608
Shelby,MO,63434,Bethel,14.73,13.32,overcast clouds,12.8,1637759019,1637793994,-92.0316,39.8922
Shelby,OH,45302,Anna,10.0,6.92,overcast clouds,4.74,1637757222,1637792037,-84.2103,40.4051
Shelby,TN,38002,Arlington,15.65,13.09,clear sky,13.22,1637757792,1637794116,-89.7295,35.2752
Shelby,TX,75935,Center,21.03,18.79,overcast clouds,20.04,1637758406,1637795642,-94.1869,31.7865
Shenandoah,VA,22641,Strasburg,4.25,-2.25,broken clouds,-1.2,1637755618,1637790847,-78.3913,39.0808
Sherburne,MN,55308,Becker,1.86,-2.74,overcast clouds,-6.79,1637760410,1637793472,-93.841,45.4365
Sheridan,KS,67740,Hoxie,5.34,2.63,overcast clouds,-0.44,1637760960,1637796107,-100.4758,39.3322
Sheridan,MT,59211,Antelope,-10.2,-10.2,clear sky,-10.2,1637763627,1637795349,-104.4529,48.6968
Sheridan,ND,58430,Denhoff,-13.66,-13.66,broken clouds,-20.66,1637762379,1637794586,-100.263,47.5709
Sheridan,NE,69335,Bingham,-0.89,-0.98,clear sky,-6.76,1637761780,1637796062,-102.0885,42.0211
Sheridan,WY,82801,Sheridan,0.06,-3.11,broken clouds,-2.4,1637763440,1637796743,-106.9648,44.7849
Sherman,KS,67733,Edson,7.34,2.14,overcast clouds,-1.52,1637761215,1637796354,-101.521,39.3579
Sherman,NE,68817,Ashton,2.16,0.92,overcast clouds,-5.2,1637760866,1637795399,-98.8034,41.2672
Sherman,OR,97029,Grass Valley,4.23,0.99,overcast clouds,2.54,1637766848,1637799952,-120.7478,45.3013
Sherman,TX,79084,Stratford,11.74,9.18,clear sky,6.66,1637760883,1637796911,-101.9886,36.3335
Shiawassee,MI,48414,Bancroft,9.01,6.82,broken clouds,4.96,1637757611,1637791604,-84.1207,42.882
Shoshone,ID,83802,Avery,-2.47,-3.04,overcast clouds,-4.69,1637766065,1637798391,-115.866,47.2714
Sibley,MN,55307,Arlington,2.21,-1.09,clear sky,-5.04,1637760312,1637793683,-94.0762,44.6153
Sierra,CA,95910,Alleghany,10.33,1.6,clear sky,2.53,1637765877,1637800972,-120.8483,39.4826
Sierra,NM,87901,Truth Or Consequences,15.81,12.96,broken clouds,14.03,1637761723,1637798605,-107.2669,33.1606
Silver Bow,MT,59701,Butte,-0.08,-5.04,clear sky,-3.09,1637765025,1637797863,-112.5988,45.9979
Simpson,KY,42134,Franklin,11.74,8.08,clear sky,8.56,1637757235,1637793156,-86.57,36.7254
Simpson,MS,39044,Braxton,15.94,13.86,overcast clouds,13.95,1637757420,1637794602,-89.9672,32.0016
Sioux,IA,51003,Alton,1.8,-1.96,overcast clouds,-7.47,1637760485,1637794442,-96.0173,42.9782
Sioux,ND,58528,Cannon Ball,-8.25,-10.68,overcast clouds,-15.92,1637762219,1637794907,-100.5975,46.3874
Sioux,NE,69346,Harrison,-4.12,-5.45,clear sky,-11.93,1637762324,1637796379,-103.8827,42.6872
Siskiyou,CA,95568,Somes Bar,5.25,5.1,overcast clouds,3.6,1637766819,1637801284,-123.4634,41.4533
Sitka City and Borough,AK,99835,Sitka,6.94,6.94,overcast clouds,3.7,1637773360,1637800434,-135.3166,57.0514
Skagit,WA,98221,Anacortes,8.06,5.75,overcast clouds,7.25,1637767951,1637799753,-122.6309,48.5004
Skagway Municipality,AK,99840,Skagway,-2.07,-2.07,light snow,-2.07,1637774296,1637799492,-135.3018,59.4685
Skamania,WA,98610,Carson,7.61,4.69,overcast clouds,5.74,1637767195,1637800127,-121.8351,45.7493
Slope,ND,58620,Amidon,-8.32,-10.57,overcast clouds,-15.25,1637762873,1637795533,-103.2647,46.456
Smith,KS,66932,Athol,4.76,4.47,overcast clouds,-0.62,1637760652,1637795663,-98.9077,39.7719
Smith,MS,39116,Mize,15.82,13.12,overcast clouds,13.66,1637757306,1637794527,-89.5741,31.8473
Smith,TN,37030,Carthage,11.86,7.63,overcast clouds,8.31,1637757024,1637793071,-85.9517,36.2763
Smith,TX,75701,Tyler,21.85,20.1,overcast clouds,21.33,1637758740,1637795839,-95.2922,32.3254
Smyth,VA,24311,Atkins,5.06,-1.99,overcast clouds,1.0,1637756015,1637791896,-81.4048,36.8665
Snohomish,WA,98012,Bothell,7.89,5.38,overcast clouds,4.06,1637767705,1637799791,-122.1972,47.8401
Snyder,PA,17812,Beaver Springs,3.22,-2.59,scattered clouds,-0.12,1637755601,1637790307,-77.2318,40.7528
Socorro,NM,87006,Bosque,13.07,9.55,overcast clouds,9.15,1637761788,1637798318,-106.8038,34.4996
Solano,CA,95620,Dixon,18.1,12.77,clear sky,14.28,1637765949,1637801361,-121.8088,38.4403
Somerset,MD,21817,Crisfield,5.0,0.02,few clouds,-0.04,1637754841,1637790400,-75.8429,37.9845
Somerset,ME,04478,Rockwood,-1.7,-3.65,clear sky,-7.58,1637754736,1637787641,-69.8768,45.8641
